WORD	DIFFICULTY	SCRABBLE_SCORE	PAR
ABOUT	2.5	7	3
THEIR	3.79	8	3
THERE	3.82	8	3
WHICH	13.86	16	3
WOULD	5.14	9	3
OTHER	3.93	8	3
AFTER	3.96	8	3
FIRST	4	8	3
THINK	9.03	12	3
COULD	4.07	8	3
THESE	4.1	8	3
WHERE	7.89	11	3
RIGHT	5.42	9	3
BEING	4.21	8	3
GOING	2.99	7	3
STILL	0.53	5	3
NEVER	4.31	8	3
THOSE	4.35	8	3
WORLD	5.63	9	3
GREAT	1.92	6	3
WHILE	8.21	11	3
EVERY	8.24	11	3
STATE	0.78	5	3
THREE	4.56	8	3
SINCE	3.35	7	3
UNDER	2.13	6	3
THING	5.92	9	3
HOUSE	4.7	8	3
PLACE	5.99	9	3
AGAIN	2.27	6	3
FOUND	6.06	9	3
MIGHT	8.59	11	3
MONEY	7.38	10	3
NIGHT	6.16	9	3
UNTIL	1.2	5	3
DOING	3.73	7	3
GROUP	5.02	8	3
WOMEN	7.55	10	3
START	1.34	5	3
TODAY	6.38	9	3
POINT	3.91	7	3
MUSIC	6.45	9	3
POWER	7.73	10	3
WATER	5.27	8	3
SMALL	4.05	7	3
WHITE	9.09	11	3
LATER	1.62	5	3
ORDER	2.91	6	3
PARTY	7.94	10	3
BLACK	11.73	13	3
WHOLE	9.3	11	3
MAYBE	10.58	12	3
STORY	5.62	8	3
LEAST	1.94	5	3
EARLY	5.72	8	3
LOCAL	4.51	7	3
VIDEO	7.05	9	3
YOUNG	7.08	9	3
COURT	4.62	7	3
GIVEN	7.15	9	3
LEVEL	5.94	8	3
OFTEN	5.97	8	3
DEATH	7.26	9	3
SOUTH	6.04	8	3
KNOWN	11.08	12	3
LARGE	3.61	6	3
WRONG	7.4	9	3
ALONG	3.68	6	3
CLASS	4.97	7	3
CLOSE	5	7	3
CAUSE	5.04	7	3
HAPPY	15.07	15	3
HUMAN	8.86	10	3
WOMAN	8.89	10	3
LEAVE	6.43	8	3
NORTH	6.47	8	3
LIGHT	7.75	9	3
SHORT	6.54	8	3
TAKEN	7.82	9	3
AMONG	6.61	8	3
CHECK	16.64	16	3
HEART	6.68	8	3
CHILD	10.46	11	3
MAJOR	14.25	14	3
MEDIA	6.78	8	3
PHONE	9.32	10	3
QUITE	14.35	14	3
FINAL	6.89	8	3
FRONT	6.92	8	3
READY	8.21	9	3
BRING	6.99	8	3
HEARD	8.28	9	3
MARCH	12.06	12	3
STUDY	8.35	9	3
CLEAR	5.89	7	3
MONTH	9.67	10	3
BOARD	7.21	8	3
FIELD	8.49	9	3
FIGHT	12.28	12	3
FORCE	9.81	10	3
ISSUE	3.6	5	3
PRICE	8.63	9	3
SPACE	8.67	9	3
TOTAL	3.7	5	3
ABOVE	9.99	10	3
SHARE	7.52	8	3
SENSE	3.81	5	3
BREAK	11.34	11	3
EVENT	7.63	8	3
SORRY	7.66	8	3
GUESS	5.2	6	3
LEARN	3.98	5	3
ALONE	4.02	5	3
MOVIE	10.31	10	3
PRESS	6.59	7	3
WORTH	11.63	11	3
SOUND	5.41	6	3
VALUE	7.95	8	3
ROUND	5.48	6	3
STAND	5.52	6	3
STUFF	11.8	11	3
DRIVE	9.34	9	3
GREEN	5.62	6	3
MATCH	13.16	12	3
MODEL	8.19	8	3
TRUST	4.48	5	3
RANGE	5.76	6	3
TRADE	5.8	6	3
CHIEF	14.58	13	3
LOWER	8.37	8	3
STYLE	8.4	8	3
BLOOD	8.44	8	3
CHINA	10.98	10	3
STAGE	6.01	6	3
TITLE	4.8	5	3
ENJOY	17.33	15	3
COVER	11.12	10	3
LEGAL	6.15	6	3
SEVEN	8.69	8	3
STAFF	12.47	11	3
SUPER	7.51	7	3
UNION	5.04	5	3
BEGAN	8.83	8	3
BUILT	7.61	7	3
CRAZY	22.65	19	4
DAILY	10.18	9	3
PAPER	10.22	9	3
VOICE	11.5	10	3
WHOSE	12.79	11	3
EARTH	9.07	8	3
BELOW	11.61	10	3
OFFER	12.9	11	3
SLEEP	7.93	7	3
TABLE	7.97	7	3
TRUTH	9.25	8	3
BUILD	9.29	8	3
PIECE	10.61	9	3
VISIT	9.39	8	3
WROTE	9.43	8	3
RIVER	9.5	8	3
SHALL	9.53	8	3
SPEAK	13.32	11	3
WRITE	9.6	8	3
ALBUM	10.89	9	3
EIGHT	10.92	9	3
FUNNY	13.46	11	3
PEACE	10.99	9	3
SPENT	8.53	7	3
STORE	6.07	5	3
TRACK	13.6	11	3
AHEAD	11.14	9	3
ALLOW	9.92	8	3
BROWN	12.46	10	3
RADIO	7.49	6	3
CROSS	8.78	7	3
FOCUS	12.56	10	3
SPEED	10.13	8	3
EXTRA	15.17	12	3
QUICK	25.2	20	4
AGREE	7.74	6	3
CLEAN	9.02	7	3
PHOTO	12.81	10	3
SCENE	9.09	7	3
SPEND	10.38	8	3
COACH	15.41	12	3
HEAVY	17.95	14	3
TRAIN	6.74	5	3
CLAIM	11.77	9	3
HOTEL	10.56	8	3
JUDGE	18.09	14	3
BRAIN	9.41	7	3
FLOOR	10.7	8	3
IMAGE	10.73	8	3
MEANT	9.52	7	3
REACH	13.3	10	3
CIVIL	13.34	10	3
DANCE	10.87	8	3
STOCK	14.66	11	3
TRUMP	12.19	9	3
WORST	10.98	8	3
BEACH	16.01	12	3
OLDER	8.55	6	3
COLOR	9.84	7	3
DREAM	11.12	8	3
GRAND	9.91	7	3
SWEET	11.23	8	3
TOUCH	13.76	10	3
DOUBT	11.3	8	3
DRINK	13.83	10	3
SHOWN	15.12	11	3
BASIC	12.65	9	3
CARRY	13.94	10	3
CRIME	12.72	9	3
FULLY	15.26	11	3
PLANT	10.29	7	3
SMITH	14.08	10	3
WORSE	11.61	8	3
AWARD	12.9	9	3
BLOCK	17.93	13	3
PETER	10.47	7	3
AVOID	13.01	9	3
CATCH	16.79	12	3
COAST	10.58	7	3
TRIAL	8.11	5	3
