WORD	DIFFICULTY	SCRABBLE_SCORE	PAR
THEIR	6	8	3
THERE	6.03	8	3
WHICH	22.05	16	4
WOULD	8.08	9	3
OTHER	6.11	8	3
AFTER	6.13	8	3
FIRST	6.16	8	3
THINK	14.19	12	3
COULD	6.22	8	3
THESE	6.24	8	3
WHERE	12.27	11	3
RIGHT	8.3	9	3
BEING	6.32	8	3
GOING	4.35	7	3
STILL	0.38	5	3
NEVER	6.4	8	3
THOSE	6.43	8	3
WORLD	8.46	9	3
GREAT	2.48	6	3
WHILE	12.51	11	3
EVERY	12.54	11	3
STATE	0.56	5	3
THREE	6.59	8	3
SINCE	4.62	7	3
UNDER	2.65	6	3
THING	8.67	9	3
HOUSE	6.7	8	3
PLACE	8.73	9	3
AGAIN	2.75	6	3
FOUND	8.78	9	3
MIGHT	12.81	11	3
MONEY	10.83	10	3
NIGHT	8.86	9	3
UNTIL	0.89	5	3
DOING	4.91	7	3
GROUP	6.94	8	3
WOMEN	10.97	10	3
START	0.99	5	3
TODAY	9.02	9	3
POINT	5.05	7	3
MUSIC	9.08	9	3
POWER	11.1	10	3
WATER	7.13	8	3
SMALL	5.16	7	3
LATER	1.18	5	3
ORDER	3.21	6	3
PARTY	11.24	10	3
THANK	15.26	12	3
USING	3.29	6	3
BLACK	17.32	13	3
WHOLE	13.34	11	3
MAYBE	15.37	12	3
STORY	7.4	8	3
LEAST	1.42	5	3
EARLY	7.45	8	3
LOCAL	5.48	7	3
VIDEO	9.51	9	3
COURT	5.53	7	3
GIVEN	9.56	9	3
LEVEL	7.59	8	3
OFTEN	7.61	8	3
DEATH	9.64	9	3
KNOWN	15.67	12	3
LARGE	3.69	6	3
WRONG	9.72	9	3
ALONG	3.75	6	3
CLASS	5.77	7	3
CLOSE	5.8	7	3
CAUSE	5.83	7	3
HAPPY	21.85	15	4
HUMAN	11.88	10	3
WOMAN	11.91	10	3
LEAVE	7.94	8	3
NORTH	7.96	8	3
WATCH	17.99	13	3
LIGHT	10.02	9	3
SHORT	8.04	8	3
TAKEN	10.07	9	3
THIRD	10.1	9	3
AMONG	8.12	8	3
CHECK	24.15	16	4
HEART	8.18	8	3
CHILD	14.2	11	3
MEDIA	8.23	8	3
PHONE	12.26	10	3
GONNA	4.28	6	3
QUITE	20.31	14	3
FINAL	8.34	8	3
FRONT	8.37	8	3
READY	10.39	9	3
BRING	8.42	8	3
HEARD	10.45	9	3
STUDY	10.47	9	3
CLEAR	6.5	7	3
MONTH	12.53	10	3
BOARD	8.55	8	3
FIELD	10.58	9	3
FIGHT	16.61	12	3
FORCE	12.63	10	3
ISSUE	2.66	5	3
PRICE	10.69	9	3
TOTAL	2.72	5	3
ABOVE	12.74	10	3
SHARE	8.77	8	3
SENSE	2.8	5	3
BREAK	14.82	11	3
EVENT	8.85	8	3
SORRY	8.88	8	3
GUESS	4.9	6	3
LEARN	2.93	5	3
ALONE	2.96	5	3
MOVIE	12.98	10	3
PRESS	7.01	7	3
WORTH	15.04	11	3
SOUND	5.06	6	3
VALUE	9.09	8	3
ROUND	5.12	6	3
STAND	5.15	6	3
STUFF	15.17	11	3
DRIVE	11.2	9	3
MATCH	17.23	12	3
MODEL	9.25	8	3
TRUST	3.28	5	3
RANGE	5.31	6	3
TRADE	5.33	6	3
CHIEF	19.36	13	3
LOWER	9.39	8	3
STYLE	9.41	8	3
BLOOD	9.44	8	3
STAGE	5.47	6	3
TITLE	3.49	5	3
ENJOY	23.52	15	4
COVER	13.55	10	3
LEGAL	5.58	6	3
SEVEN	9.6	8	3
STAFF	15.63	11	3
BEGAN	9.66	8	3
BUILT	7.68	7	3
CRAZY	31.71	19	4
PAPER	11.74	9	3
VOICE	13.76	10	3
WHOSE	15.79	11	3
EARTH	9.82	8	3
BELOW	13.84	10	3
OFFER	15.87	11	3
SLEEP	7.9	7	3
TABLE	7.92	7	3
TRUTH	9.95	8	3
BUILD	9.98	8	3
PIECE	12.01	9	3
VISIT	10.03	8	3
WANNA	10.06	8	3
WROTE	10.09	8	3
RIVER	10.11	8	3
SHALL	10.14	8	3
SPEAK	16.17	11	3
WRITE	10.19	8	3
ALBUM	12.22	9	3
EIGHT	12.25	9	3
FUNNY	16.27	11	3
PEACE	12.3	9	3
SPENT	8.33	7	3
STORE	4.35	5	3
TRACK	16.38	11	3
AHEAD	12.41	9	3
ALLOW	10.44	8	3
BROWN	14.46	10	3
RADIO	6.49	6	3
CROSS	8.52	7	3
FOCUS	14.54	10	3
SPEED	10.57	8	3
EXTRA	18.6	12	3
QUICK	34.62	20	4
AGREE	6.65	6	3
CLEAN	8.68	7	3
PHOTO	14.7	10	3
SCENE	8.73	7	3
SPEND	10.76	8	3
COACH	18.78	12	3
HEAVY	22.81	14	4
TRAIN	4.84	5	3
CLAIM	12.87	9	3
GOTTA	6.89	6	3
HOTEL	10.92	8	3
BRAIN	8.95	7	3
FLOOR	10.97	8	3
IMAGE	11	8	3
MEANT	9.03	7	3
REACH	15.05	10	3
CIVIL	15.08	10	3
DANCE	11.11	8	3
STOCK	17.13	11	3
WORST	11.16	8	3
BEACH	19.19	12	3
OLDER	7.22	6	3
COLOR	9.24	7	3
DREAM	11.27	8	3
GRAND	9.3	7	3
TOUCH	15.32	10	3
DOUBT	11.35	8	3
DRINK	15.38	10	3
SHOWN	17.4	11	3
BASIC	13.43	9	3
CARRY	15.46	10	3
CRIME	13.48	9	3
FULLY	17.51	11	3
PLANT	9.54	7	3
WORSE	11.56	8	3
AWARD	13.59	9	3
BLOCK	21.62	13	4
AVOID	13.65	9	3
CATCH	19.67	12	3
COAST	9.7	7	3
TRIAL	5.73	5	3
TRULY	11.75	8	3
BROKE	17.78	11	3
GLASS	7.81	6	3
PRIOR	9.83	7	3
SERVE	11.86	8	3
BEGIN	11.89	8	3
TWICE	15.91	10	3
WORRY	17.94	11	3
COUNT	9.97	7	3
FRESH	17.99	11	3
MOUTH	16.02	10	3
OWNER	12.05	8	3
SCALE	10.08	7	3
SCORE	10.1	7	3
SMART	10.13	7	3
THROW	18.16	11	3
CLICK	22.18	13	4
METAL	10.21	7	3
AGENT	8.24	6	3
APPLY	20.26	12	3
BASIS	10.29	7	3
ENTER	6.32	5	3
PRIME	14.34	9	3
WASTE	12.37	8	3
WEIRD	14.4	9	3
ADULT	8.42	6	3
GRADE	10.45	7	3
APART	10.48	7	3
AWARE	12.51	8	3
FIFTH	24.53	14	4
PROUD	12.56	8	3
BIRTH	16.59	10	3
LABOR	10.61	7	3
LUCKY	24.64	14	4
PROVE	16.67	10	3
TOUGH	14.69	9	3
ALIVE	12.72	8	3
APPLE	14.75	9	3
DRESS	8.77	6	3
HORSE	12.8	8	3
MAGIC	16.83	10	3
STICK	18.85	11	3
GUIDE	10.88	7	3
RAISE	6.91	5	3
TREAT	6.94	5	3
EXIST	20.96	12	3
GUARD	10.99	7	3
SHOOT	13.02	8	3
SOLID	9.04	6	3
SPORT	11.07	7	3
TASTE	7.1	5	3
HELLO	13.12	8	3
PLANE	11.15	7	3
SHAPE	17.18	10	3
UPPER	15.2	9	3
CHEAP	21.23	12	3
JOINT	21.26	12	3
STEEL	7.28	5	3
CROWD	19.31	11	3
ENEMY	17.34	10	3
FIXED	29.37	16	4
LIMIT	11.39	7	3
PROOF	17.42	10	3
CHAIR	17.45	10	3
HONOR	13.47	8	3
EMAIL	11.5	7	3
STUCK	19.53	11	3
DRAMA	13.55	8	3
ENTRY	13.58	8	3
GROWN	15.61	9	3
LYING	15.63	9	3
ROUTE	7.66	5	3
SMOKE	19.69	11	3
SQUAD	27.72	15	4
TEACH	17.74	10	3
ABUSE	11.77	7	3
ANGRY	15.8	9	3
LAUGH	15.82	9	3
LUNCH	17.85	10	3
ACTOR	11.88	7	3
CHAIN	17.9	10	3
EQUAL	25.93	14	4
QUIET	25.96	14	4
SPLIT	11.98	7	3
FAULT	14.01	8	3
MIXED	28.04	15	4
PHASE	18.06	10	3
SMILE	12.09	7	3
TRUCK	20.12	11	3
BLAME	16.15	9	3
DYING	18.17	10	3
FALSE	14.2	8	3
NOVEL	14.23	8	3
SHIRT	14.25	8	3
CREAM	16.28	9	3
MAYOR	18.31	10	3
THEME	18.33	10	3
USUAL	8.36	5	3
DRAFT	16.39	9	3
DRUNK	18.41	10	3
SPOKE	20.44	11	3
UPSET	12.47	7	3
CYCLE	22.49	12	4
ASIDE	10.52	6	3
EMPTY	22.55	12	4
KINDA	18.58	10	3
PRIZE	30.6	16	4
RURAL	8.63	5	3
ADMIT	14.66	8	3
FAVOR	20.68	11	3
FRAME	18.71	10	3
GUEST	10.74	6	3
TEETH	14.76	8	3
BUNCH	22.79	12	4
FRUIT	14.82	8	3
INDEX	24.84	13	4
SHIFT	20.87	11	3
STOOD	10.9	6	3
TIGHT	16.92	9	3
CHOSE	18.95	10	3
CRASH	18.98	10	3
DEPTH	21.01	11	3
DIRTY	17.03	9	3
ERROR	9.06	5	3
NOISE	9.09	5	3
PANEL	13.11	7	3
PLATE	13.14	7	3
SHAME	19.17	10	3
CABLE	17.19	9	3
PRINT	13.22	7	3
SIGHT	17.25	9	3
BROAD	15.27	8	3
DRAWN	17.3	9	3
MOTOR	13.33	7	3
SOLAR	9.35	5	3
BLIND	15.38	8	3
BRIEF	19.41	10	3
CHEST	19.44	10	3
DEBUT	15.46	8	3
PAINT	13.49	7	3
PILOT	13.52	7	3
STEAM	13.54	7	3
EXACT	27.57	14	4
QUOTE	27.6	14	4
SWEAR	15.62	8	3
TREND	11.65	6	3
BREAD	15.68	8	3
INNER	9.7	5	3
REPLY	19.73	10	3
TOWER	15.76	8	3
WHEEL	21.78	11	4
PRIDE	15.81	8	3
ROUGH	17.84	9	3
SMELL	13.87	7	3
TOPIC	17.89	9	3
TRICK	21.92	11	4
AUDIO	11.95	6	3
CHART	19.97	10	3
MOUNT	14	7	3
OCCUR	18.03	9	3
ARGUE	12.05	6	3
AWFUL	22.08	11	4
BOUND	16.11	8	3
CLOUD	16.13	8	3
LOOSE	10.16	5	3
MORAL	14.19	7	3
SHOCK	28.22	14	4
THICK	28.24	14	4
THREW	22.27	11	4
BONUS	14.3	7	3
FLASH	22.32	11	4
GROSS	12.35	6	3
REFER	16.38	8	3
TRAIL	10.4	5	3
BADLY	22.43	11	4
IDEAL	12.46	6	3
CLOCK	26.48	13	4
LABEL	14.51	7	3
PITCH	24.54	12	4
PLAIN	14.56	7	3
ANGER	12.59	6	3
COMIC	22.62	11	4
NEWLY	22.65	11	4
SKILL	18.67	9	3
SOLVE	16.7	8	3
TRASH	16.73	8	3
VIRUS	16.75	8	3
BOOST	14.78	7	3
CRACK	26.81	13	4
KNIFE	24.83	12	4
STEAL	10.86	5	3
BUDDY	24.89	12	4
DELAY	18.91	9	3
ELITE	10.94	5	3
FORTH	22.97	11	4
LAYER	16.99	8	3
MARRY	21.02	10	3
NURSE	11.05	5	3
SHEET	17.08	8	3
BENCH	25.1	12	4
IDIOT	13.13	6	3
MEDAL	17.16	8	3
SHELL	17.18	8	3
SILLY	17.21	8	3
ANGLE	13.24	6	3
FORUM	21.26	10	3
GRASS	13.29	6	3
HENCE	21.32	10	4
RAPID	17.34	8	3
SIXTH	31.37	15	4
VALID	19.4	9	3
VITAL	17.42	8	3
CREEK	23.45	11	4
FRAUD	19.48	9	3
HONEY	23.51	11	4
RATIO	11.53	5	3
SCARY	21.56	10	4
SPELL	15.59	7	3
SWORD	19.61	9	3
BEGUN	17.64	8	3
DADDY	23.67	11	4
DROVE	19.69	9	3
GLORY	19.72	9	3
JUICE	29.75	14	4
LOGIC	17.77	8	3
STRIP	15.8	7	3
DOZEN	31.83	15	4
FANCY	27.85	13	4
INPUT	15.88	7	3
KNOCK	31.91	15	4
OUGHT	19.94	9	3
FLOOD	19.96	9	3
RALLY	17.99	8	3
SWING	20.02	9	3
ALERT	12.04	5	3
ARENA	12.07	5	3
BRAVE	22.1	10	4
FLEET	18.12	8	3
SHAKE	26.15	12	4
SHORE	18.18	8	3
BLAST	16.2	7	3
POUND	18.23	8	3
PUNCH	26.26	12	4
FEWER	24.28	11	4
GRAVE	20.31	9	3
MOUSE	16.34	7	3
PIANO	16.37	7	3
SLAVE	18.39	8	3
CRAFT	22.42	10	4
DEVIL	20.45	9	3
SAUCE	16.47	7	3
SLIDE	14.5	6	3
ALIEN	12.53	5	3
BEAST	16.55	7	3
CANDY	24.58	11	4
FIFTY	30.61	14	4
RELAX	26.63	12	4
GLOBE	18.66	8	3
SPARE	16.69	7	3
QUEST	30.72	14	4
SIZED	32.74	15	4
ANIME	16.77	7	3
LOVER	18.8	8	3
PANIC	20.82	9	3
