WORD	DIFFICULTY	SCRABBLE_SCORE	PAR
THEIR	4	8	3
THERE	4.03	8	3
WHICH	14.74	16	3
WOULD	5.44	9	3
OTHER	4.14	8	3
AFTER	4.17	8	3
FIRST	4.21	8	3
THINK	9.57	12	3
COULD	4.27	8	3
THESE	4.31	8	3
WHERE	8.34	11	3
RIGHT	5.71	9	3
BEING	4.41	8	3
GOING	3.11	7	3
STILL	0.48	5	3
NEVER	4.52	8	3
THOSE	4.55	8	3
WORLD	5.92	9	3
GREAT	1.95	6	3
WHILE	8.65	11	3
EVERY	8.69	11	3
STATE	0.72	5	3
THREE	4.76	8	3
SINCE	3.46	7	3
UNDER	2.16	6	3
THING	6.19	9	3
HOUSE	4.89	8	3
PLACE	6.26	9	3
AGAIN	2.29	6	3
FOUND	6.33	9	3
MIGHT	9.03	11	3
MONEY	7.73	10	3
NIGHT	6.43	9	3
UNTIL	1.13	5	3
DOING	3.83	7	3
GROUP	5.2	8	3
WOMEN	7.9	10	3
START	1.27	5	3
TODAY	6.64	9	3
POINT	4.01	7	3
MUSIC	6.71	9	3
POWER	8.07	10	3
WATER	5.44	8	3
SMALL	4.14	7	3
LATER	1.51	5	3
ORDER	2.88	6	3
PARTY	8.25	10	3
THANK	10.95	12	3
USING	2.98	6	3
BLACK	12.35	13	3
WHOLE	9.72	11	3
MAYBE	11.08	12	3
STORY	5.79	8	3
LEAST	1.82	5	3
EARLY	5.85	8	3
LOCAL	4.56	7	3
VIDEO	7.26	9	3
COURT	4.62	7	3
GIVEN	7.32	9	3
LEVEL	6.03	8	3
OFTEN	6.06	8	3
DEATH	7.43	9	3
KNOWN	11.46	12	3
LARGE	3.5	6	3
WRONG	7.53	9	3
ALONG	3.57	6	3
CLASS	4.93	7	3
CLOSE	4.97	7	3
CAUSE	5	7	3
HAPPY	15.7	15	3
HUMAN	9.07	10	3
WOMAN	9.1	10	3
LEAVE	6.47	8	3
NORTH	6.51	8	3
WATCH	13.21	13	3
LIGHT	7.91	9	3
SHORT	6.61	8	3
TAKEN	7.98	9	3
THIRD	8.01	9	3
AMONG	6.71	8	3
CHECK	17.41	16	3
HEART	6.78	8	3
CHILD	10.82	11	3
MEDIA	6.85	8	3
PHONE	9.55	10	3
GONNA	4.25	6	3
QUITE	14.95	14	3
FINAL	6.99	8	3
FRONT	7.02	8	3
READY	8.39	9	3
BRING	7.09	8	3
HEARD	8.46	9	3
STUDY	8.49	9	3
CLEAR	5.86	7	3
MONTH	9.89	10	3
BOARD	7.26	8	3
FIELD	8.63	9	3
FIGHT	12.66	12	3
FORCE	10.03	10	3
ISSUE	3.4	5	3
PRICE	8.77	9	3
TOTAL	3.47	5	3
ABOVE	10.17	10	3
SHARE	7.54	8	3
SENSE	3.57	5	3
BREAK	11.61	11	3
EVENT	7.64	8	3
SORRY	7.67	8	3
GUESS	5.04	6	3
LEARN	3.74	5	3
ALONE	3.78	5	3
MOVIE	10.48	10	3
PRESS	6.51	7	3
WORTH	11.88	11	3
SOUND	5.25	6	3
VALUE	7.95	8	3
ROUND	5.32	6	3
STAND	5.35	6	3
STUFF	12.05	11	3
DRIVE	9.42	9	3
MATCH	13.45	12	3
MODEL	8.15	8	3
TRUST	4.19	5	3
RANGE	5.56	6	3
TRADE	5.59	6	3
CHIEF	14.96	13	3
LOWER	8.33	8	3
STYLE	8.36	8	3
BLOOD	8.39	8	3
STAGE	5.76	6	3
TITLE	4.46	5	3
ENJOY	17.83	15	3
COVER	11.2	10	3
LEGAL	5.9	6	3
SEVEN	8.6	8	3
STAFF	12.64	11	3
BEGAN	8.67	8	3
BUILT	7.37	7	3
CRAZY	23.4	19	4
PAPER	10.11	9	3
VOICE	11.47	10	3
WHOSE	12.84	11	3
EARTH	8.88	8	3
BELOW	11.58	10	3
OFFER	12.94	11	3
SLEEP	7.65	7	3
TABLE	7.68	7	3
TRUTH	9.05	8	3
BUILD	9.08	8	3
PIECE	10.45	9	3
VISIT	9.15	8	3
WANNA	9.18	8	3
WROTE	9.22	8	3
RIVER	9.25	8	3
SHALL	9.29	8	3
SPEAK	13.32	11	3
WRITE	9.36	8	3
ALBUM	10.72	9	3
EIGHT	10.76	9	3
FUNNY	13.46	11	3
PEACE	10.83	9	3
SPENT	8.19	7	3
STORE	5.56	5	3
TRACK	13.6	11	3
AHEAD	10.96	9	3
ALLOW	9.67	8	3
BROWN	12.37	10	3
RADIO	7.07	6	3
CROSS	8.43	7	3
FOCUS	12.47	10	3
SPEED	9.84	8	3
EXTRA	15.2	12	3
QUICK	25.91	20	4
AGREE	7.27	6	3
CLEAN	8.64	7	3
PHOTO	12.68	10	3
SCENE	8.71	7	3
SPEND	10.08	8	3
COACH	15.44	12	3
HEAVY	18.15	14	3
TRAIN	6.18	5	3
CLAIM	11.55	9	3
GOTTA	7.58	6	3
HOTEL	10.28	8	3
BRAIN	8.98	7	3
FLOOR	10.35	8	3
IMAGE	10.39	8	3
MEANT	9.09	7	3
REACH	13.12	10	3
CIVIL	13.16	10	3
DANCE	10.52	8	3
STOCK	14.56	11	3
WORST	10.59	8	3
BEACH	15.96	12	3
OLDER	7.99	6	3
COLOR	9.36	7	3
DREAM	10.73	8	3
GRAND	9.43	7	3
TOUCH	13.46	10	3
DOUBT	10.83	8	3
DRINK	13.53	10	3
SHOWN	14.9	11	3
BASIC	12.27	9	3
CARRY	13.64	10	3
CRIME	12.34	9	3
FULLY	15.04	11	3
PLANT	9.74	7	3
WORSE	11.11	8	3
AWARD	12.47	9	3
BLOCK	17.84	13	3
AVOID	12.54	9	3
CATCH	16.58	12	3
COAST	9.95	7	3
TRIAL	7.31	5	3
TRULY	11.35	8	3
BROKE	15.38	11	3
GLASS	8.75	6	3
PRIOR	10.12	7	3
SERVE	11.48	8	3
BEGIN	11.52	8	3
TWICE	14.22	10	3
WORRY	15.59	11	3
COUNT	10.29	7	3
FRESH	15.66	11	3
MOUTH	14.36	10	3
OWNER	11.73	8	3
SCALE	10.43	7	3
SCORE	10.46	7	3
SMART	10.49	7	3
THROW	15.86	11	3
CLICK	18.56	13	3
METAL	10.6	7	3
AGENT	9.3	6	3
APPLY	17.33	12	3
BASIS	10.7	7	3
ENTER	8.07	5	3
PRIME	13.44	9	3
WASTE	12.14	8	3
WEIRD	13.51	9	3
ADULT	9.54	6	3
GRADE	10.91	7	3
APART	10.94	7	3
AWARE	12.31	8	3
FIFTH	20.34	14	3
PROUD	12.38	8	3
BIRTH	15.08	10	3
LABOR	11.11	7	3
LUCKY	20.48	14	3
PROVE	15.18	10	3
TOUGH	13.88	9	3
ALIVE	12.58	8	3
APPLE	13.95	9	3
DRESS	9.99	6	3
HORSE	12.69	8	3
MAGIC	15.39	10	3
STICK	16.76	11	3
GUIDE	11.46	7	3
