WORD	DIFFICULTY	SCRABBLE_SCORE	PAR
STILL	0.08	5	3
STATE	0.12	5	3
UNTIL	0.19	5	3
START	0.21	5	3
LATER	0.26	5	3
LEAST	0.33	5	3
ISSUE	0.62	5	3
TOTAL	0.64	5	3
SENSE	0.66	5	3
LEARN	0.69	5	3
ALONE	0.7	5	3
AREAS	0.73	5	3
TRUST	0.79	5	3
TITLE	0.84	5	3
UNION	0.88	5	3
RULES	0.94	5	3
SALES	1.06	5	3
STORE	1.07	5	3
GREAT	1.14	6	3
UNDER	1.17	6	3
TRAIN	1.19	5	3
AGAIN	1.19	6	3
LINES	1.22	5	3
ORDER	1.3	6	3
USING	1.32	6	3
LARGE	1.43	6	3
RATES	1.43	5	3
ALONG	1.44	6	3
TRIAL	1.45	5	3
NOTES	1.51	5	3
GONNA	1.57	6	3
LOUIS	1.6	5	3
ENTER	1.64	5	3
STONE	1.67	5	3
GUESS	1.72	6	3
TRIED	1.75	6	3
SOUND	1.77	6	3
ROUND	1.78	6	3
TREAT	1.79	5	3
RAISE	1.79	5	3
STAND	1.79	6	3
SITES	1.81	5	3
GREEN	1.81	6	3
TRADE	1.83	6	3
RANGE	1.83	6	3
TASTE	1.86	5	3
STAGE	1.87	6	3
LEGAL	1.9	6	3
STEEL	1.91	5	3
TREES	1.97	5	3
ROUTE	2.02	5	3
INDIA	2.02	6	3
RADIO	2.14	6	3
GOING	2.14	7	3
AGREE	2.19	6	3
SINCE	2.2	7	3
USUAL	2.23	5	3
GOTTA	2.24	6	3
DOING	2.26	7	3
TIMES	2.28	7	3
POINT	2.29	7	3
RURAL	2.31	5	3
SMALL	2.32	7	3
OLDER	2.33	6	3
LOCAL	2.41	7	3
ERROR	2.41	5	3
COURT	2.42	7	3
NOISE	2.42	5	3
CLASS	2.48	7	3
CLOSE	2.49	7	3
SOLAR	2.49	5	3
CAUSE	2.5	7	3
GLASS	2.51	6	3
IDEAS	2.54	6	3
INNER	2.56	5	3
CLEAR	2.65	7	3
AGENT	2.65	6	3
ADULT	2.69	6	3
LOOSE	2.69	5	3
TRAIL	2.75	5	3
DRESS	2.78	6	3
PRESS	2.78	7	3
ROLES	2.79	5	3
SOLID	2.88	6	3
SIDES	2.88	6	3
STEAL	2.91	5	3
SAINT	2.91	5	3
ELITE	2.94	5	3
SUPER	2.95	7	3
TIRED	2.95	6	3
BUILT	2.96	7	3
NURSE	2.96	5	3
NOTED	3	6	3
ALLEN	3.01	5	3
TABLE	3.03	7	3
SUGAR	3.03	6	3
SLEEP	3.03	7	3
GRANT	3.04	6	3
CASES	3.05	7	3
RATIO	3.09	5	3
THEIR	3.1	8	3
THERE	3.11	8	3
AFTER	3.13	8	3
OTHER	3.13	8	3
SPENT	3.13	7	3
FIRST	3.14	8	3
THESE	3.15	8	3
COULD	3.15	8	3
BEING	3.17	8	3
CROSS	3.18	7	3
THOSE	3.19	8	3
NEVER	3.19	8	3
MILES	3.19	7	3
ALERT	3.22	5	3
ARENA	3.22	5	3
GIANT	3.23	6	3
THREE	3.23	8	3
CLEAN	3.23	7	3
SCENE	3.24	7	3
HOUSE	3.25	8	3
GROUP	3.3	8	3
BRAIN	3.3	7	3
ASIDE	3.31	6	3
MEANT	3.32	7	3
BASED	3.35	8	3
WATER	3.35	8	3
ENDED	3.36	7	3
COLOR	3.37	7	3
ALIEN	3.37	5	3
GUEST	3.37	6	3
GRAND	3.39	7	3
NAMES	3.39	7	3
STOOD	3.4	6	3
GAMES	3.42	8	3
STORY	3.42	8	3
EARLY	3.44	8	3
PLANT	3.45	7	3
LEVEL	3.47	8	3
OFTEN	3.47	8	3
SOUTH	3.49	8	3
PETER	3.49	7	3
DATES	3.49	6	3
COAST	3.51	7	3
OUTER	3.53	5	3
LAURA	3.55	5	3
LEAVE	3.55	8	3
PRIOR	3.55	7	3
NORTH	3.56	8	3
TREND	3.58	6	3
SHORT	3.58	8	3
AMONG	3.59	8	3
HEART	3.6	8	3
ASSET	3.61	5	3
COUNT	3.61	7	3
SCALE	3.63	7	3
MEDIA	3.63	8	3
ULTRA	3.64	5	3
SMART	3.64	7	3
SCORE	3.64	7	3
FINAL	3.65	8	3
FRONT	3.65	8	3
BRING	3.67	8	3
AUDIO	3.68	6	3
METAL	3.68	7	3
PARIS	3.68	7	3
BOARD	3.7	8	3
BASIS	3.7	7	3
ARGUE	3.7	6	3
STOLE	3.72	5	3
GRADE	3.73	7	3
APART	3.75	7	3
SHARE	3.76	8	3
LASER	3.76	5	3
ANGEL	3.76	6	3
GROSS	3.77	6	3
LABOR	3.77	7	3
EVENT	3.77	8	3
SORRY	3.78	8	3
ADDED	3.8	8	3
IDEAL	3.81	6	3
GUIDE	3.85	7	3
VALUE	3.85	8	3
ANGER	3.86	6	3
GUARD	3.89	7	3
MODEL	3.89	8	3
STYLE	3.92	8	3
LOWER	3.92	8	3
SPORT	3.92	7	3
BLOOD	3.93	8	3
SUITE	3.93	5	3
PLANE	3.95	7	3
SEVEN	3.97	8	3
LEASE	3.98	5	3
BEGAN	3.99	8	3
LIMIT	4	7	3
INTER	4	5	3
OCEAN	4.01	7	3
IDIOT	4.02	6	3
ROGER	4.03	6	3
EARTH	4.04	8	3
EMAIL	4.05	7	3
ANGLE	4.05	6	3
GRASS	4.07	6	3
TRUTH	4.07	8	3
BUILD	4.08	8	3
WANNA	4.1	8	3
VISIT	4.1	8	3
WROTE	4.11	8	3
SHALL	4.12	8	3
RIVER	4.12	8	3
WRITE	4.13	8	3
ABUSE	4.13	7	3
STORM	4.15	7	3
WOULD	4.15	9	3
ACTOR	4.16	7	3
EATEN	4.18	5	3
SPLIT	4.18	7	3
ALLOW	4.19	8	3
URBAN	4.19	7	3
RIGHT	4.2	9	3
SMILE	4.21	7	3
WORLD	4.23	9	3
SPEED	4.23	8	3
LOSES	4.26	5	3
MINOR	4.28	7	3
THING	4.28	9	3
SPEND	4.28	8	3
PLACE	4.29	9	3
FOUND	4.3	9	3
HOTEL	4.31	8	3
NIGHT	4.32	9	3
UPSET	4.32	7	3
NAMED	4.33	8	3
OUTTA	4.33	5	3
FLOOR	4.34	8	3
TALES	4.35	5	3
IMAGE	4.35	8	3
TODAY	4.36	9	3
DANCE	4.37	8	3
MUSIC	4.37	9	3
GATES	4.37	6	3
SPAIN	4.38	7	3
RATED	4.38	6	3
RULED	4.38	6	3
WORST	4.39	8	3
SLIDE	4.39	6	3
TIGER	4.4	6	3
DREAM	4.41	8	3
SWEET	4.43	8	3
DOUBT	4.44	8	3
VIDEO	4.48	9	3
PANEL	4.49	7	3
YOUNG	4.49	9	3
GIVEN	4.5	9	3
PLATE	4.5	7	3
WORSE	4.5	8	3
DEATH	4.51	9	3
INTEL	4.53	5	3
PRINT	4.53	7	3
WRONG	4.54	9	3
MOTOR	4.55	7	3
RISES	4.56	5	3
COMES	4.56	9	3
TRULY	4.56	8	3
PAINT	4.58	7	3
PILOT	4.59	7	3
STEAM	4.59	7	3
SERVE	4.59	8	3
ROYAL	4.59	8	3
LIGHT	4.6	9	3
BEGIN	4.61	8	3
THIRD	4.62	9	3
TAKEN	4.62	9	3
ALTER	4.63	5	3
ROMAN	4.64	7	3
BRAND	4.64	8	3
OWNER	4.66	8	3
USAGE	4.68	6	3
SMELL	4.68	7	3
READY	4.69	9	3
HEARD	4.71	9	3
MOUNT	4.72	7	3
STUDY	4.72	9	3
FIELD	4.74	9	3
WASTE	4.75	8	3
PRICE	4.76	9	3
TIRES	4.76	5	3
SPACE	4.77	9	3
MORAL	4.77	7	3
DEALT	4.77	6	3
AWARE	4.79	8	3
BONUS	4.8	7	3
PROUD	4.8	8	3
RADAR	4.81	6	3
TAKES	4.82	9	3
UNCLE	4.82	7	3
LOSER	4.83	5	3
ALIVE	4.83	8	3
ROSES	4.84	5	3
HORSE	4.85	8	3
