WORD	DIFFICULTY	SCRABBLE_SCORE	PAR
THEIR	3.1	8	3
THERE	3.11	8	3
WHICH	11.39	16	3
WOULD	4.15	9	3
OTHER	3.13	8	3
AFTER	3.13	8	3
FIRST	3.14	8	3
THINK	7.28	12	3
COULD	3.15	8	3
THESE	3.15	8	3
WHERE	6.26	11	3
RIGHT	4.2	9	3
BEING	3.17	8	3
GOING	2.14	7	3
STILL	0.08	5	3
NEVER	3.19	8	3
THOSE	3.19	8	3
WORLD	4.23	9	3
GREAT	1.14	6	3
WHILE	6.31	11	3
EVERY	6.32	11	3
STATE	0.12	5	3
THREE	3.23	8	3
SINCE	2.2	7	3
UNDER	1.17	6	3
THING	4.28	9	3
HOUSE	3.25	8	3
PLACE	4.29	9	3
AGAIN	1.19	6	3
FOUND	4.3	9	3
MIGHT	6.38	11	3
MONEY	5.35	10	3
NIGHT	4.32	9	3
UNTIL	0.19	5	3
DOING	2.26	7	3
GROUP	3.3	8	3
WOMEN	5.37	10	3
START	0.21	5	3
TIMES	2.28	7	3
TODAY	4.36	9	3
POINT	2.29	7	3
MUSIC	4.37	9	3
POWER	5.41	10	3
WATER	3.35	8	3
BASED	3.35	8	3
SMALL	2.32	7	3
WHITE	6.47	11	3
LATER	0.26	5	3
ORDER	1.3	6	3
PARTY	5.45	10	3
THANK	7.52	12	3
USING	1.32	6	3
BLACK	8.57	13	3
MAKES	6.5	11	3
WHOLE	6.51	11	3
MAYBE	7.55	12	3
STORY	3.42	8	3
GAMES	3.42	8	3
LEAST	0.33	5	3
EARLY	3.44	8	3
LOCAL	2.41	7	3
VIDEO	4.48	9	3
YOUNG	4.49	9	3
COURT	2.42	7	3
GIVEN	4.5	9	3
LEVEL	3.47	8	3
OFTEN	3.47	8	3
DEATH	4.51	9	3
SOUTH	3.49	8	3
KNOWN	7.63	12	3
LARGE	1.43	6	3
WRONG	4.54	9	3
ALONG	1.44	6	3
CLASS	2.48	7	3
CLOSE	2.49	7	3
COMES	4.56	9	3
CAUSE	2.5	7	3
HAPPY	10.78	15	3
HUMAN	5.61	10	3
WOMAN	5.62	10	3
LEAVE	3.55	8	3
NORTH	3.56	8	3
WATCH	8.74	13	3
LIGHT	4.6	9	3
SHORT	3.58	8	3
TAKEN	4.62	9	3
THIRD	4.62	9	3
AMONG	3.59	8	3
CHECK	11.87	16	3
HEART	3.6	8	3
ASKED	5.68	10	3
CHILD	6.72	11	3
MAJOR	9.83	14	3
MEDIA	3.63	8	3
PHONE	5.7	10	3
GONNA	1.57	6	3
QUITE	9.85	14	3
FINAL	3.65	8	3
FRONT	3.65	8	3
READY	4.69	9	3
BRING	3.67	8	3
HEARD	4.71	9	3
MARCH	7.82	12	3
STUDY	4.72	9	3
CLEAR	2.65	7	3
MONTH	5.76	10	3
BOARD	3.7	8	3
FIELD	4.74	9	3
FIGHT	7.85	12	3
FORCE	5.79	10	3
ISSUE	0.62	5	3
PRICE	4.76	9	3
SHOWS	6.84	11	3
SPACE	4.77	9	3
TOTAL	0.64	5	3
ABOVE	5.82	10	3
SHARE	3.76	8	3
SENSE	0.66	5	3
BREAK	6.87	11	3
EVENT	3.77	8	3
SORRY	3.78	8	3
TAKES	4.82	9	3
GUESS	1.72	6	3
LEARN	0.69	5	3
ADDED	3.8	8	3
ALONE	0.7	5	3
MOVIE	5.88	10	3
PRESS	2.78	7	3
TRIED	1.75	6	3
WORTH	6.93	11	3
AREAS	0.73	5	3
SOUND	1.77	6	3
VALUE	3.85	8	3
ROUND	1.78	6	3
STAND	1.79	6	3
STUFF	6.97	11	3
DRIVE	4.9	9	3
GREEN	1.81	6	3
MATCH	8.02	12	3
MODEL	3.89	8	3
TRUST	0.79	5	3
RANGE	1.83	6	3
TRADE	1.83	6	3
CHIEF	9.08	13	3
JAMES	10.12	14	3
LOWER	3.92	8	3
STYLE	3.92	8	3
BLOOD	3.93	8	3
CHINA	6	10	3
STAGE	1.87	6	3
TITLE	0.84	5	3
ENJOY	11.19	15	3
COVER	6.03	10	3
LEGAL	1.9	6	3
SEVEN	3.97	8	3
STAFF	7.08	11	3
SUPER	2.95	7	3
UNION	0.88	5	3
BEGAN	3.99	8	3
BUILT	2.96	7	3
CRAZY	15.38	19	3
DAILY	5.04	9	3
KNOWS	8.15	12	3
PAPER	5.05	9	3
VOICE	6.09	10	3
WHOSE	7.13	11	3
EARTH	4.04	8	3
RULES	0.94	5	3
BELOW	6.12	10	3
OFFER	7.16	11	3
SLEEP	3.03	7	3
TABLE	3.03	7	3
TRUTH	4.07	8	3
BUILD	4.08	8	3
CASES	3.05	7	3
INDIA	2.02	6	3
PIECE	5.13	9	3
VISIT	4.1	8	3
WANNA	4.1	8	3
WROTE	4.11	8	3
RIVER	4.12	8	3
SHALL	4.12	8	3
SPEAK	7.23	11	3
WRITE	4.13	8	3
ALBUM	5.17	9	3
EIGHT	5.18	9	3
FUNNY	7.25	11	3
PEACE	5.19	9	3
SALES	1.06	5	3
SPENT	3.13	7	3
STORE	1.07	5	3
TRACK	7.28	11	3
AHEAD	5.22	9	3
ALLOW	4.19	8	3
BROWN	6.26	10	3
MOVED	7.3	11	3
RADIO	2.14	6	3
CROSS	3.18	7	3
FOCUS	6.29	10	3
LOVED	5.26	9	3
MILES	3.19	7	3
SPEED	4.23	8	3
JESUS	8.38	12	3
EXTRA	8.38	12	3
QUICK	16.66	20	3
AGREE	2.19	6	3
CLEAN	3.23	7	3
PHOTO	6.34	10	3
SCENE	3.24	7	3
SPEND	4.28	8	3
COACH	8.42	12	3
HEAVY	10.5	14	3
TRAIN	1.19	5	3
CLAIM	5.34	9	3
GOTTA	2.24	6	3
HOTEL	4.31	8	3
JUDGE	10.53	14	3
LINES	1.22	5	3
NAMED	4.33	8	3
BRAIN	3.3	7	3
FLOOR	4.34	8	3
IMAGE	4.35	8	3
MEANT	3.32	7	3
REACH	6.43	10	3
CIVIL	6.43	10	3
DANCE	4.37	8	3
STOCK	7.48	11	3
TRUMP	5.41	9	3
WORST	4.39	8	3
BEACH	8.53	12	3
ENDED	3.36	7	3
OLDER	2.33	6	3
COLOR	3.37	7	3
DREAM	4.41	8	3
GRAND	3.39	7	3
NAMES	3.39	7	3
SWEET	4.43	8	3
TOUCH	6.51	10	3
DOUBT	4.44	8	3
DRINK	6.52	10	3
SHOWN	7.56	11	3
BASIC	5.49	9	3
CARRY	6.53	10	3
CRIME	5.5	9	3
FULLY	7.58	11	3
JAPAN	10.69	14	3
PLANT	3.45	7	3
SMITH	6.56	10	3
TEXAS	8.64	12	3
WORSE	4.5	8	3
AWARD	5.54	9	3
BLOCK	9.69	13	3
LIVED	5.56	9	3
PETER	3.49	7	3
RATES	1.43	5	3
AVOID	5.57	9	3
CATCH	8.68	12	3
COAST	3.51	7	3
TRIAL	1.45	5	3
TRULY	4.56	8	3
QUEEN	10.77	14	3
BROKE	7.67	11	3
GLASS	2.51	6	3
PRIOR	3.55	7	3
ROYAL	4.59	8	3
SERVE	4.59	8	3
TYPES	6.67	10	3
BEGIN	4.61	8	3
IDEAS	2.54	6	3
NOTES	1.51	5	3
PLAYS	6.69	10	3
TWICE	6.7	10	3
WORRY	7.74	11	3
BRAND	4.64	8	3
COUNT	3.61	7	3
FRESH	7.75	11	3
MOUTH	6.72	10	3
OWNER	4.66	8	3
SCALE	3.63	7	3
SCORE	3.64	7	3
SMART	3.64	7	3
THROW	7.79	11	3
VIEWS	7.79	11	3
CLICK	9.87	13	3
FAITH	7.8	11	3
LOUIS	1.6	5	3
METAL	3.68	7	3
PARIS	3.68	7	3
AGENT	2.65	6	3
APPLY	8.87	12	3
BASIS	3.7	7	3
ENTER	1.64	5	3
PRIME	5.78	9	3
WASTE	4.75	8	3
WEIRD	5.79	9	3
ADULT	2.69	6	3
GRADE	3.73	7	3
STONE	1.67	5	3
APART	3.75	7	3
AWARE	4.79	8	3
FIFTH	11	14	3
PROUD	4.8	8	3
BIRTH	6.87	10	3
LABOR	3.77	7	3
LUCKY	11.02	14	3
PROVE	6.89	10	3
TOUGH	5.86	9	3
ALIVE	4.83	8	3
APPLE	5.87	9	3
BITCH	8.98	12	3
DRESS	2.78	6	3
HORSE	4.85	8	3
LIKED	6.93	10	3
MAGIC	6.93	10	3
OWNED	5.9	9	3
STICK	7.98	11	3
FRANK	9.02	12	3
GUIDE	3.85	7	3
RAISE	1.79	5	3
TREAT	1.79	5	3
YOUTH	8.01	11	3
HENRY	8.01	11	3
SITES	1.81	5	3
EXIST	9.06	12	3
GUARD	3.89	7	3
JONES	9.07	12	3
LIKES	5.97	9	3
SHOOT	4.94	8	3
SIDES	2.88	6	3
SOLID	2.88	6	3
SPORT	3.92	7	3
TASTE	1.86	5	3
HARRY	8.07	11	3
HELLO	4.98	8	3
PLANE	3.95	7	3
SHAPE	7.06	10	3
UPPER	6.03	9	3
CHEAP	9.14	12	3
JOINT	9.14	12	3
STEEL	1.91	5	3
TIRED	2.95	6	3
CROWD	8.12	11	3
ENEMY	7.1	10	3
FIXED	13.31	16	3
LIMIT	4	7	3
OCEAN	4.01	7	3
PROOF	7.12	10	3
CHAIR	7.12	10	3
HOMES	7.13	10	3
HONOR	5.07	8	3
NOTED	3	6	3
TREES	1.97	5	3
EMAIL	4.05	7	3
STUCK	8.19	11	3
SUGAR	3.03	6	3
DRAMA	5.1	8	3
ENTRY	5.11	8	3
GRANT	3.04	6	3
GROWN	6.15	9	3
LYING	6.16	9	3
ROUTE	2.02	5	3
SAVED	6.17	9	3
SHOES	5.14	8	3
SMOKE	8.25	11	3
SQUAD	12.39	15	3
TEACH	7.23	10	3
ABUSE	4.13	7	3
ANGRY	6.2	9	3
LAUGH	6.21	9	3
LUNCH	7.25	10	3
STORM	4.15	7	3
ACTOR	4.16	7	3
CHAIN	7.26	10	3
EQUAL	11.41	14	3
QUIET	11.41	14	3
SPLIT	4.18	7	3
TAXES	9.36	12	3
URBAN	4.19	7	3
FAULT	5.23	8	3
MIXED	12.48	15	3
PHASE	7.31	10	3
SMILE	4.21	7	3
TRUCK	8.36	11	3
VOTES	5.26	8	3
BLAME	6.3	9	3
DYING	7.34	10	3
FALSE	5.27	8	3
FIRED	6.31	9	3
NOVEL	5.29	8	3
SHIRT	5.29	8	3
CREAM	6.33	9	3
GIANT	3.23	6	3
MAYOR	7.38	10	3
MINOR	4.28	7	3
PAGES	5.32	8	3
THEME	7.39	10	3
USUAL	2.23	5	3
VOTED	6.37	9	3
DRAFT	6.38	9	3
DRUNK	7.42	10	3
SPOKE	8.46	11	3
UPSET	4.32	7	3
CYCLE	9.5	12	3
WALES	5.37	8	3
ARMED	5.38	8	3
ASIDE	3.31	6	3
EMPTY	9.52	12	3
FACES	7.46	10	3
KINDA	7.47	10	3
PRIZE	13.68	16	3
RURAL	2.31	5	3
SPAIN	4.38	7	3
ADMIT	5.42	8	3
FAVOR	8.53	11	3
FRAME	7.5	10	3
GUEST	3.37	6	3
TEETH	5.44	8	3
BUNCH	9.59	12	3
FRUIT	5.45	8	3
INDEX	10.63	13	3
SHIFT	8.57	11	3
STOOD	3.4	6	3
TIGHT	6.51	9	3
CROWN	7.55	10	3
GRACE	5.49	8	3
CHOSE	7.56	10	3
CRASH	7.57	10	3
DEPTH	8.61	11	3
DIRTY	6.55	9	3
ERROR	2.41	5	3
NOISE	2.42	5	3
PANEL	4.49	7	3
PLATE	4.5	7	3
SHAME	7.61	10	3
BIBLE	6.58	9	3
CABLE	6.58	9	3
DATES	3.49	6	3
PRINT	4.53	7	3
SIGHT	6.6	9	3
BROAD	5.57	8	3
DRAWN	6.61	9	3
MOTOR	4.55	7	3
SOLAR	2.49	5	3
BLIND	5.6	8	3
BRIEF	7.67	10	3
CHEST	7.68	10	3
DEBUT	5.61	8	3
PAINT	4.58	7	3
PILOT	4.59	7	3
STEAM	4.59	7	3
EXACT	11.84	14	3
QUOTE	11.85	14	3
SWEAR	5.65	8	3
TREND	3.58	6	3
BREAD	5.66	8	3
GREEK	7.73	10	3
INNER	2.56	5	3
REPLY	7.74	10	3
ROMAN	4.64	7	3
TOWER	5.69	8	3
WHEEL	8.79	11	3
FACED	8.8	11	3
FILED	6.74	9	3
PRIDE	5.71	8	3
ROUGH	6.75	9	3
SMELL	4.68	7	3
TOPIC	6.76	9	3
LEWIS	5.73	8	3
SHARP	7.8	10	3
TRICK	8.84	11	3
AUDIO	3.68	6	3
CHART	7.82	10	3
MOUNT	4.72	7	3
OCCUR	6.8	9	3
ARGUE	3.7	6	3
AWFUL	8.88	11	3
BOUND	5.78	8	3
CLOUD	5.79	8	3
FILES	5.79	8	3
LOOSE	2.69	5	3
MORAL	4.77	7	3
SHOCK	12.02	14	3
THICK	12.02	14	3
THREW	8.92	11	3
ANGEL	3.76	6	3
BONUS	4.8	7	3
FLASH	8.94	11	3
GROSS	3.77	6	3
REFER	5.85	8	3
TRAIL	2.75	5	3
UNCLE	4.82	7	3
BADLY	8.97	11	3
CHASE	7.94	10	3
IDEAL	3.81	6	3
JIMMY	17.26	19	3
KELLY	10.03	12	3
ROLES	2.79	5	3
CLOCK	11.07	13	3
LABEL	4.87	7	3
NAKED	7.98	10	3
PITCH	10.05	12	3
PIZZA	23.51	25	4
PLAIN	4.89	7	3
ANGER	3.86	6	3
COMIC	9.04	11	3
GHOST	6.98	9	3
NEWLY	9.05	11	3
SKILL	6.99	9	3
SOLVE	5.96	8	3
TRASH	5.97	8	3
VEGAS	7.01	9	3
VIRUS	5.98	8	3
BOOST	4.95	7	3
CRACK	11.16	13	3
DUTCH	9.1	11	3
HIRED	7.03	9	3
