WORD	DIFFICULTY	SCRABBLE_SCORE	PAR
ABOUT	2.07	7	3
THEIR	3.11	8	3
THERE	3.11	8	3
WHICH	11.39	16	3
WOULD	4.16	9	3
OTHER	3.13	8	3
AFTER	3.13	8	3
FIRST	3.14	8	3
THINK	7.28	12	3
COULD	3.15	8	3
THESE	3.15	8	3
WHERE	6.26	11	3
RIGHT	4.19	9	3
YEARS	3.16	8	3
BEING	3.17	8	3
GOING	2.14	7	3
STILL	0.08	5	3
NEVER	3.18	8	3
THOSE	3.19	8	3
WORLD	4.23	9	3
GREAT	1.13	6	3
WHILE	6.31	11	3
EVERY	6.31	11	3
STATE	0.11	5	3
THREE	3.22	8	3
SINCE	2.19	7	3
UNDER	1.16	6	3
THING	4.27	9	3
HOUSE	3.24	8	3
PLACE	4.27	9	3
AGAIN	1.18	6	3
FOUND	4.28	9	3
MIGHT	6.36	11	3
MONEY	5.33	10	3
NIGHT	4.3	9	3
UNTIL	0.16	5	3
DOING	2.24	7	3
GROUP	3.28	8	3
WOMEN	5.35	10	3
START	0.18	5	3
TIMES	2.26	7	3
TODAY	4.33	9	3
POINT	2.27	7	3
MUSIC	4.34	9	3
POWER	5.38	10	3
WATER	3.32	8	3
BASED	3.32	8	3
SMALL	2.29	7	3
WHITE	6.43	11	3
LATER	0.23	5	3
ORDER	1.27	6	3
PARTY	5.41	10	3
THANK	7.49	12	3
USING	1.28	6	3
BLACK	8.53	13	3
MAKES	6.47	11	3
WHOLE	6.47	11	3
MAYBE	7.51	12	3
STORY	3.38	8	3
GAMES	3.38	8	3
LEAST	0.28	5	3
MEANS	2.36	7	3
EARLY	3.4	8	3
LOCAL	2.37	7	3
VIDEO	4.44	9	3
YOUNG	4.44	9	3
COURT	2.38	7	3
GIVEN	4.45	9	3
LEVEL	3.42	8	3
OFTEN	3.43	8	3
DEATH	4.47	9	3
HOURS	3.44	8	3
SOUTH	3.44	8	3
KNOWN	7.59	12	3
LARGE	1.38	6	3
WRONG	4.49	9	3
ALONG	1.39	6	3
NEEDS	1.4	6	3
CLASS	2.44	7	3
CLOSE	2.44	7	3
COMES	4.51	9	3
LOOKS	4.52	9	3
CAUSE	2.46	7	3
HAPPY	10.74	15	3
HUMAN	5.57	10	3
WOMAN	5.57	10	3
LEAVE	3.51	8	3
NORTH	3.51	8	3
WATCH	8.69	13	3
LIGHT	4.56	9	3
SHORT	3.53	8	3
TAKEN	4.57	9	3
THIRD	4.57	9	3
AMONG	3.54	8	3
CHECK	11.82	16	3
HEART	3.55	8	3
ASKED	5.62	10	3
CHILD	6.66	11	3
MAJOR	9.77	14	3
MEDIA	3.57	8	3
PHONE	5.64	10	3
GONNA	1.51	6	3
QUITE	9.79	14	3
WORKS	7.73	12	3
FINAL	3.59	8	3
FRONT	3.6	8	3
READY	4.64	9	3
BRING	3.61	8	3
HEARD	4.65	9	3
MARCH	7.76	12	3
STUDY	4.66	9	3
